10000; 0.0070842; 235371; 432789; 763568
20000; 0.013799; 510667; 924921; 1635810
30000; 0.0213218; 800794; 1439976; 2550756
40000; 0.0295102; 1101629; 1970805; 3493411
50000; 0.037327; 1409739; 2512587; 4457175
60000; 0.0456455; 1721126; 3059292; 5430774
70000; 0.0538725; 2038290; 3614025; 6418946
80000; 0.0618997; 2363071; 4181280; 7426594
90000; 0.0732971; 2690226; 4751181; 8440260
100000; 0.0777492; 3019591; 5324721; 9462554
110000; 0.0870648; 3350759; 5901312; 10489339
120000; 0.0951191; 3682624; 6478980; 11521115
130000; 0.105048; 4016469; 7058913; 12560830
140000; 0.112227; 4357155; 7649454; 13610104
150000; 0.123047; 4700818; 8244999; 14669032
160000; 0.131052; 5046233; 8842302; 15732033
170000; 0.139332; 5392452; 9441678; 16798877
180000; 0.148898; 5740029; 10041711; 17869394
190000; 0.156692; 6089834; 10645983; 18947400
200000; 0.16611; 6439551; 11249991; 20026167
210000; 0.182808; 6789970; 11854995; 21104623
220000; 0.184394; 7140843; 12461067; 22187566
230000; 0.193457; 7493603; 13069917; 23276285
240000; 0.20302; 7845486; 13677666; 24363557
250000; 0.211752; 8198987; 14286621; 25452933
260000; 0.225575; 8551745; 14894904; 26547283
270000; 0.230696; 8911570; 15514371; 27650032
280000; 0.239354; 9273894; 16137432; 28757857
290000; 0.251901; 9636460; 16761024; 29866539
300000; 0.259173; 10001710; 17387838; 30983506
